Age,Median_Salary
18.0,13750.0
19.0,14506.0
20.0,16032.0
20.9,41244.0
21.0,19200.0
22.0,23769.5
22.5,11040.0
23.0,29392.5
23.5,12228.0
24.0,33367.0
24.5,88610.0
24.8,8400.0
25.0,37810.0
26.0,41688.0
26.3,31403.0
26.5,68000.0
27.0,46016.0
28.0,49044.0
28.5,50868.0
29.0,52932.0
29.5,12228.0
30.0,55971.0
30.8,66424.0
31.0,62745.0
31.4,272700.0
31.5,1069000.0
32.0,64928.0
33.0,68000.0
33.6,101748.0
34.0,69889.5
35.0,74232.0
36.0,77022.0
36.8,15600.0
37.0,78057.5
37.3,87036.0
37.5,140000.0
38.0,79396.0
38.5,65976.0
39.0,80178.5
40.0,83640.0
41.0,90417.0
42.0,91593.0
43.0,91120.5
43.5,19248.0
44.0,95627.0
45.0,91606.0
46.0,97743.5
46.5,72530.0
47.0,93312.5
48.0,98150.0
49.0,99240.0
50.0,103455.0
51.0,100463.0
52.0,100000.0
53.0,109082.0
54.0,104227.5
55.0,104601.0
56.0,112583.0
57.0,109956.0
58.0,109000.0
59.0,104040.5
60.0,111254.0
61.0,125000.0
61.3,40000.0
62.0,104898.0
63.0,118000.0
64.0,125000.0
65.0,89000.0
66.0,70000.0
67.0,104000.0
68.0,105500.0
69.0,100000.0
70.0,107500.0
71.0,147500.0
72.0,96000.0
